member_id,name,join_date,age,gender,postcode,phone,referred_by_member,_true_cohort,cancellation_requested
M0001,Allison Hill,2025-07-22,28,male,3004,0318196001,False,steady,
M0012,Kimberly Osborne,2025-07-11,35,female,3005,0409 570 154,False,steady,
M0416,Kristen Jones,2026-05-19,23,female,3141,08 4485 7086,False,winback,
M0023,Emily Green,2026-06-05,26,female,3004,+61.453.462.475,False,steady,
M0073,Michelle Collins,2025-07-26,38,male,3004,8613 1712,False,steady,
M0183,Jill Powers,2026-01-27,18,male,3556,3067-3830,False,steady,
M0132,Harry Duncan,2025-09-23,32,male,3005,02-8518-8888,True,steady,
M0411,Krista Martinez,2026-05-26,18,prefer_not_to_say,3220,+61735031365,False,winback,
M0194,Jennifer Kirby,2025-10-13,39,prefer_not_to_say,3006,0220387509,False,steady,
M0056,Jason Peters,2025-11-16,21,male,3004,0877014363,False,steady,
M0149,Leslie Carpenter,2025-03-24,30,male,3008,07-9001-0943,False,steady,
M0019,Tammy Allison,2025-10-02,31,female,3220,08-7736-0260,False,steady,
M0205,Ashley Miller,2025-08-15,30,female,3005,+61-8-8886-1015,False,steady,
M0079,Marie Christian,2025-10-16,36,prefer_not_to_say,3004,+61.486.578.091,False,steady,
M0495,Laura Douglas,2025-01-31,27,female,3182,(02)-4712-8144,False,winback,
M0263,Nathaniel Crawford,2026-08-22,30,prefer_not_to_say,3141,+61 8 2532 4472,False,new_joiner,
M0324,Jamie Montoya,2025-06-22,34,male,3182,7797.1775,False,sleeping_dog,
M0484,Matthew Davis PhD,2024-07-01,41,male,3005,0402.278.469,False,winback,
M0080,Michael Mitchell,2025-06-27,27,female,3007,0261172400,False,steady,2026-09-05T16:23:00
M0040,Shannon Mcclure,2026-01-16,37,prefer_not_to_say,3005,+61-3-2870-8317,False,steady,
M0452,Jonathan White,2025-06-24,39,male,3220,0482.665.702,True,winback,
M0047,Brandy Murray,2025-09-26,35,male,3182,4653-7556,False,steady,
M0239,Janet Richmond,2026-09-02,22,prefer_not_to_say,3006,(03).3413.8999,False,new_joiner,
M0392,Tyler Hernandez,2026-03-13,40,female,3121,2672 8857,False,winback,
M0353,Danielle Gonzalez,2026-01-25,18,female,3220,0475.523.149,False,sleeping_dog,2026-08-28T17:19:00
M0342,Anna Walker,2025-05-27,37,male,3141,07.5543.9878,False,sleeping_dog,
M0278,Matthew Lawson,2025-12-15,38,male,3182,+61-3-0153-3688,False,sliding,
M0291,William Ramos,2026-01-13,47,prefer_not_to_say,3220,(07).6913.7367,False,sliding,
M0318,Anna Briggs,2026-03-06,46,prefer_not_to_say,3006,02-6674-6762,False,sliding,
M0305,Scott Taylor,2025-10-12,37,prefer_not_to_say,3350,07.6972.5217,False,sliding,
M0269,Casey Johnson,2026-05-13,40,female,3556,3930-8705,False,sliding,
M0070,Shannon Rivera,2025-04-22,25,male,3006,+61768071545,False,steady,
M0456,Toni Smith,2025-09-18,31,prefer_not_to_say,3556,(02) 7778 0973,False,winback,
M0466,Cheyenne Bass,2025-04-23,25,male,3005,+61.477.027.278,False,winback,
M0155,Adam Rodriguez,2026-03-10,39,prefer_not_to_say,3008,07 5650 6098,False,steady,
M0083,Brooke Alexander,2025-07-24,24,prefer_not_to_say,3220,(07)64743671,False,steady,
M0478,Robert Hale,2025-07-28,25,prefer_not_to_say,3220,74773329,True,winback,
M0173,Elizabeth Sharp,2025-08-15,29,male,3141,4530 1742,False,steady,
M0322,Danielle Reed,2025-09-25,18,prefer_not_to_say,3220,+61.462.890.028,False,sleeping_dog,
M0091,Patrick Moore,2025-05-29,18,female,3004,+61-2-7964-0537,False,steady,
M0181,William Davenport,2025-12-09,18,prefer_not_to_say,3007,4786 8633,False,steady,
M0415,Kristin Daniels,2026-05-08,27,female,3005,+61392855749,False,winback,
M0313,Matthew Bates,2026-04-23,30,male,3005,(03) 6189 1411,False,sliding,
M0279,Douglas Young,2026-02-04,43,prefer_not_to_say,3141,6987-2050,False,sliding,
M0382,Travis Pratt,2026-07-28,37,male,3006,(07) 7697 3577,True,winback,
M0473,Peter Fowler,2025-07-26,21,male,3005,07.3344.8571,False,winback,
M0363,Heather Parrish,2026-01-12,36,male,3141,+61890827231,True,sleeping_dog,
M0325,Jonathan Valdez,2025-09-04,18,prefer_not_to_say,3006,66088019,False,sleeping_dog,
M0432,Jonathan Ayala,2026-04-18,24,prefer_not_to_say,3008,03 7837 6938,False,winback,
M0348,James Wilson,2025-07-19,23,male,3141,9190 1581,False,sleeping_dog,2026-09-09T20:01:00
M0087,Sandra Scott,2025-04-22,26,female,3008,+61751712368,False,steady,
M0076,Jill Washington,2025-04-04,43,male,3005,(08).7533.9636,False,steady,
M0439,Stephen Hughes,2026-03-01,32,prefer_not_to_say,3220,+61 2 5798 1238,False,winback,
M0016,Diana Washington,2025-04-06,24,prefer_not_to_say,3006,0429-973-763,False,steady,
M0250,James Hernandez,2026-09-07,46,male,3350,8635-3654,False,new_joiner,
M0434,Connor Cooper,2026-04-10,24,male,3220,+61-404-259-792,True,winback,
M0020,Mrs. Rachel Gibson,2025-10-23,18,male,3121,+61-8-2343-0980,False,steady,
M0323,Sarah Booth,2025-06-13,33,female,3008,7535.4083,False,sleeping_dog,
M0333,Nicole Evans,2025-10-07,31,prefer_not_to_say,3006,0458-333-945,False,sleeping_dog,
M0057,Kevin Kennedy,2025-06-23,26,female,3121,0456 855 744,False,steady,
M0302,Sara Walter,2025-11-01,27,prefer_not_to_say,3007,07-1724-8251,False,sliding,
M0230,Sharon Martinez DVM,2026-08-23,26,male,3141,0353672946,False,new_joiner,
M0332,Jennifer Lynch,2025-02-22,20,prefer_not_to_say,3141,0765472269,False,sleeping_dog,
M0133,Shane Williams,2025-06-18,26,female,3556,+61 7 4051 5319,False,steady,
M0138,Bobby Guerrero,2025-05-20,18,male,3008,(08)-9627-5705,True,steady,
M0424,Yesenia Kirk,2025-05-13,29,male,3005,+61-8-5939-8368,False,winback,
M0336,Candace Mitchell,2025-02-20,35,prefer_not_to_say,3005,(03) 0438 0571,False,sleeping_dog,
M0026,Matthew Mcmillan,2025-11-05,33,male,3006,07 1182 4493,False,steady,
M0465,Dawn Jones,2025-06-19,23,prefer_not_to_say,3141,(07)-0155-6990,False,winback,
M0282,Andrew Gonzales,2026-02-04,18,female,3006,(03) 4902 1158,False,sliding,
M0248,Michael Ray,2026-09-03,27,prefer_not_to_say,3141,7785.0792,True,new_joiner,
M0238,Matthew Alexander,2026-08-25,32,female,3006,03.6973.1121,True,new_joiner,2026-08-29T19:34:00
M0118,Sara Haas,2026-04-09,36,male,3141,8203.7788,False,steady,
M0043,George Orozco,2025-12-27,36,prefer_not_to_say,3004,2236.2316,False,steady,
M0221,Harold Ellis,2026-09-04,39,prefer_not_to_say,3141,07-9912-5134,False,new_joiner,
M0177,Joseph Wilson,2026-04-10,34,prefer_not_to_say,3220,08.1870.7286,False,steady,
M0321,Sean Warren,2025-08-15,25,male,3006,0493.588.916,False,sleeping_dog,2026-09-06T10:03:00
M0154,Brandon Long MD,2025-10-11,32,female,3141,0395004797,False,steady,
M0232,Raymond Oconnor,2026-08-30,35,female,3220,+61.7.1863.6374,False,new_joiner,
M0228,Leah Bell,2026-09-03,24,female,3220,+61 462 923 309,False,new_joiner,
M0418,Douglas Ortiz,2026-03-24,29,prefer_not_to_say,3556,(02).1810.2203,True,winback,
M0204,James Bowers,2026-03-19,31,male,3004,08 5511 0475,False,steady,
M0127,Dominique Hines,2025-12-30,26,male,3004,(08) 8261 3750,False,steady,
M0330,Joanna Barrett,2026-01-31,34,prefer_not_to_say,3556,0427 080 869,False,sleeping_dog,
M0032,Corey Murphy,2025-05-27,32,female,3006,4586.8501,False,steady,
M0114,Peter Jones,2026-01-17,34,male,3005,+61-477-997-995,False,steady,
M0471,Brittany Peterson,2025-10-01,21,prefer_not_to_say,3006,+61752182307,False,winback,
M0272,Wayne Steele,2026-03-26,27,male,3006,+61 453 926 442,False,sliding,
M0141,Phillip Berry,2025-06-20,41,male,3006,0456 543 102,False,steady,
M0058,Bryan Lee,2025-09-13,27,female,3005,82337498,False,steady,
M0193,Robert Jackson,2025-08-20,29,male,3006,0472-808-010,False,steady,
M0025,Shirley Suarez,2025-12-16,41,male,3121,(07)27849808,False,steady,
M0018,Jerry Henderson,2025-06-14,40,prefer_not_to_say,3005,(08) 3178 1080,True,steady,
M0266,Devin Johnson,2025-08-22,34,prefer_not_to_say,3220,+61 430 407 859,False,sliding,
M0067,Eric Powell,2026-04-12,39,prefer_not_to_say,3008,(08) 7190 6594,False,steady,
M0209,James Skinner,2026-04-17,30,female,3556,+61 7 7569 2459,False,steady,
M0480,Joel Jackson,2024-11-10,20,prefer_not_to_say,3182,(03)81615814,False,winback,
M0095,Sean Anderson,2025-05-13,28,female,3121,(03)95024026,False,steady,2026-09-01T15:28:00
M0254,Ryan Wiley,2026-08-28,21,female,3121,(02).6413.8367,False,new_joiner,
M0267,Dr. Ariel Sandoval MD,2025-12-10,43,prefer_not_to_say,3005,3965-2239,False,sliding,
M0024,Taylor Smith,2025-03-24,43,prefer_not_to_say,3004,+61 491 183 842,False,steady,
M0223,Maria Cooke,2026-09-01,22,prefer_not_to_say,3182,0427-422-579,False,new_joiner,
M0262,Austin Orr,2026-08-24,28,male,3350,+61.3.1510.7029,False,new_joiner,
M0427,Henry Taylor,2026-02-10,18,male,3121,(03)34419693,False,winback,
M0006,Mia Sutton,2025-11-19,23,female,3006,9283.2764,True,steady,
M0117,Rebecca Huang,2026-05-02,42,prefer_not_to_say,3006,+61.3.5978.2071,False,steady,
M0046,Rebecca Ramsey,2025-07-29,32,female,3220,+61.3.9806.9901,False,steady,
M0017,Matthew Gomez,2025-09-06,28,prefer_not_to_say,3008,+61-8-0106-5133,False,steady,
M0463,Kathleen Daniel,2026-01-09,31,prefer_not_to_say,3220,+61829343010,False,winback,
M0358,Reginald Diaz,2025-03-13,18,male,3006,0727881658,True,sleeping_dog,
M0004,Kimberly Dudley,2026-05-27,30,prefer_not_to_say,3007,+61 2 8495 9310,True,steady,
M0219,Joanna Jordan,2026-08-28,39,female,3005,3341 9182,False,new_joiner,
M0406,Jennifer Castaneda,2026-03-26,19,female,3220,03-4179-7497,True,winback,
M0061,Anthony Everett,2025-09-28,23,female,3005,+61216719022,False,steady,
M0111,Jared Bowman,2025-07-23,27,prefer_not_to_say,3005,(02)-6052-9751,True,steady,
M0319,Michael Brown,2026-04-09,30,male,3005,02-6979-7296,False,sliding,
M0429,Tammy Cook,2025-03-04,31,female,3121,+61-8-1390-6048,False,winback,
M0030,Nicole Frost,2025-07-19,29,female,3005,0326025634,True,steady,2026-09-09T15:28:00
M0438,Richard Williamson,2026-03-21,27,female,3121,7016-4510,True,winback,
M0472,Sean Wilson,2025-03-27,23,female,3350,(02)-9157-0184,True,winback,
M0027,Christina Walters,2025-11-16,48,female,3008,(08) 4016 4005,True,steady,
M0008,Emily Rios,2025-10-31,22,male,3006,+61 8 2423 8849,False,steady,
M0454,Michael Acosta,2026-03-11,27,female,3004,0492 686 025,False,winback,
M0109,Pamela Roberts,2025-12-20,34,prefer_not_to_say,3350,07622683,False,steady,
M0038,Mackenzie Rogers,2026-02-05,37,female,3005,0733200379,False,steady,
M0158,Gary Wells,2025-04-08,32,prefer_not_to_say,3008,+61.3.9825.9526,False,steady,
M0490,Joanna Kelly,2025-10-03,38,female,3006,08-9097-3846,False,winback,
M0119,Helen Hardin,2026-01-23,25,female,3006,+61 8 5905 1518,False,steady,
M0115,Lori Hernandez,2025-04-20,35,female,3008,7744.9058,False,steady,
M0176,Heidi Stark,2025-06-07,39,prefer_not_to_say,3008,08839822,False,steady,
M0374,Jennifer Harris DDS,2025-04-30,43,prefer_not_to_say,3556,0472-588-744,False,sleeping_dog,
M0182,Christopher Lopez,2025-07-16,38,female,3007,06903311,False,steady,
M0145,Julie Bird,2025-05-18,21,female,3006,02 1467 8669,False,steady,
M0370,Autumn Olson,2025-02-09,26,male,3350,02 6865 0863,False,sleeping_dog,2026-08-25T18:43:00
M0391,Christopher Anderson,2025-12-25,35,female,3004,0431.438.663,False,winback,
M0196,Denise Madden,2025-07-03,31,prefer_not_to_say,3004,8621 1823,False,steady,
M0405,Maria Clayton,2026-04-04,32,male,3006,0716389448,False,winback,
M0276,Heather Bennett,2026-04-06,42,female,3182,+61327104054,False,sliding,
M0455,Mary Hernandez,2026-03-02,32,female,3556,03 0644 7421,False,winback,
M0142,Mr. Justin Green III,2026-02-25,18,female,3006,+61.3.9473.1217,False,steady,
M0366,Kenneth Brown,2025-12-14,35,female,3006,(03) 8699 0413,True,sleeping_dog,
M0068,Darryl Craig,2026-05-02,32,male,3121,0490.490.278,False,steady,
M0211,Timothy Gonzalez,2025-04-09,36,male,3007,0428-073-741,True,steady,
M0169,Amanda Huff,2026-02-21,26,male,3004,+61340049915,False,steady,
M0494,Erin Gomez,2024-04-29,49,male,3182,(07)-2094-9407,False,winback,
M0376,Lisa Cohen,2025-06-25,18,female,3141,2601-2796,True,sleeping_dog,
M0401,Brandy Fry,2026-03-20,29,male,3004,0429-979-688,False,winback,
M0273,Aaron Miles,2025-12-16,31,prefer_not_to_say,3008,0469.029.593,False,sliding,
M0110,Sandra Drake,2025-12-01,24,prefer_not_to_say,3007,6060.7159,False,steady,
M0249,David Garcia,2026-09-10,26,female,3556,0413.800.030,False,new_joiner,
M0146,William Day,2025-05-07,41,prefer_not_to_say,3006,+61.8.8528.9226,False,steady,
M0093,Samantha Davis,2026-03-23,30,female,3006,02.0532.9318,False,steady,
M0153,Stephanie Li,2026-05-23,24,female,3006,0453.278.774,False,steady,
M0368,Michael Nielsen,2025-04-28,18,prefer_not_to_say,3006,+61 491 366 210,False,sleeping_dog,
M0468,Evelyn Hendricks,2026-01-04,38,female,3008,(02)24056829,False,winback,
M0084,Kenneth Andrews,2025-03-21,28,male,3006,(02)-6409-0974,False,steady,
M0246,Logan Brown,2026-09-03,26,prefer_not_to_say,3004,+61.421.020.275,False,new_joiner,
M0166,Cindy Clayton,2026-04-30,18,male,3004,(07) 2199 3308,True,steady,
M0164,David Grant,2026-03-10,32,prefer_not_to_say,3006,0743757584,False,steady,
M0200,Thomas Cohen,2025-12-02,26,female,3007,(02) 2503 9261,False,steady,
M0229,Douglas Ryan,2026-08-27,31,female,3220,(07).4948.1260,False,new_joiner,
M0075,Desiree Tyler,2026-02-16,47,prefer_not_to_say,3007,+61-7-8404-4997,True,steady,
M0479,Jack White,2024-08-16,26,male,3005,+61.455.770.171,False,winback,
M0359,David Maynard,2025-11-13,18,prefer_not_to_say,3007,+61 428 272 299,False,sleeping_dog,
M0251,Laura Wilson,2026-09-02,40,prefer_not_to_say,3004,+61.402.380.617,False,new_joiner,
M0120,Diane Cummings,2025-05-25,35,prefer_not_to_say,3004,+61.492.519.254,False,steady,
M0311,Leah Jackson,2025-08-11,19,female,3005,(02)64890901,False,sliding,
M0300,Rebekah Greene,2026-05-15,38,prefer_not_to_say,3220,+61.452.074.466,False,sliding,
M0256,Casey Wilkins,2026-09-02,18,female,3182,9906.2344,False,new_joiner,
M0355,David Walker,2025-04-06,39,male,3006,+61-464-525-777,False,sleeping_dog,
M0400,Duane Sims,2025-05-17,31,male,3005,03 0055 7784,False,winback,
M0226,Ashley Wilson,2026-08-23,39,female,3220,0458-078-361,True,new_joiner,2026-09-06T12:26:00
M0354,Corey Tucker,2025-09-01,46,prefer_not_to_say,3182,(07).9299.5562,False,sleeping_dog,
M0235,Mariah Williams,2026-08-28,31,female,3006,+61-443-611-037,True,new_joiner,
M0383,Shannon Olson,2026-07-28,24,female,3350,(02) 6335 6588,False,winback,
M0275,David Jones,2025-10-26,39,prefer_not_to_say,3350,(02) 0067 6267,False,sliding,
M0037,Richard Lawson,2025-04-16,29,male,3006,(08).7738.7214,False,steady,
M0197,Joseph Ochoa,2025-04-05,32,prefer_not_to_say,3182,(08) 1567 9334,False,steady,
M0140,Jessica Martinez,2025-11-11,18,male,3182,0756909275,False,steady,
M0365,Kevin Holland,2025-12-25,28,male,3006,+61-2-3029-9228,False,sleeping_dog,
M0245,Pamela Santos,2026-08-31,30,male,3006,+61-414-630-316,False,new_joiner,
M0440,Kristina Marquez,2025-04-04,18,male,3220,3845-7620,False,winback,
M0287,Alexandria Graves,2025-08-22,29,prefer_not_to_say,3182,0486.162.299,False,sliding,
M0060,Kristen Terry,2025-04-27,36,male,3006,08 1094 7775,False,steady,2026-09-11T16:22:00
M0112,Brian Graham,2025-06-16,40,prefer_not_to_say,3008,+61 2 6453 5218,False,steady,
M0090,Tracy Torres,2026-02-10,34,prefer_not_to_say,3141,+61213826758,True,steady,
M0437,Joseph Green,2026-03-03,27,female,3121,+61306980420,False,winback,
M0007,Margaret Hawkins DDS,2025-12-07,25,female,3005,3056-4139,False,steady,
M0361,Daniel Velez,2025-07-03,38,male,3006,(08)77005184,True,sleeping_dog,
M0347,Christopher King,2026-01-11,24,prefer_not_to_say,3350,9346.6766,False,sleeping_dog,
M0339,William Jones,2025-09-08,46,prefer_not_to_say,3556,02-6064-8422,False,sleeping_dog,
M0159,Nancy Evans MD,2025-11-02,26,female,3008,0487 947 055,False,steady,
M0151,Jason Marshall,2026-05-07,35,prefer_not_to_say,3004,(03).5556.2588,True,steady,
M0178,Anthony Ford,2026-01-13,36,prefer_not_to_say,3005,(02)-6403-9106,False,steady,
M0394,Isaac Grant,2025-10-16,39,female,3121,(07) 0615 9399,False,winback,
M0185,Eric Brown,2026-04-09,18,female,3006,0426.870.568,False,steady,
M0450,Jesus Rich,2026-01-22,41,female,3007,0808680347,False,winback,
M0011,Troy Liu,2025-04-22,25,female,3141,(03) 8148 9325,True,steady,
M0381,Victor Gibson,2026-08-04,27,female,3006,+61 2 4268 1818,False,winback,
M0104,Kristin Lynch,2025-09-06,27,prefer_not_to_say,3006,+61.440.244.550,False,steady,
M0082,Janet Vega,2025-06-24,35,prefer_not_to_say,3007,+61337474074,False,steady,
M0039,Angel Perry,2025-11-20,19,female,3141,+61-493-676-320,True,steady,
M0315,Adam Davis,2026-04-02,35,male,3006,97218114,False,sliding,
M0168,Nicole Mitchell,2025-05-26,26,female,3005,(02)-1938-0262,False,steady,
M0470,Elizabeth Warren,2025-12-18,22,prefer_not_to_say,3220,02-5031-7807,False,winback,
M0297,Terri Marquez,2026-05-08,20,female,3121,+61-446-657-437,False,sliding,
M0475,Tony Brock,2025-12-04,31,prefer_not_to_say,3182,0432.149.587,False,winback,
M0199,Michele Miller,2025-07-25,18,male,3350,+61-7-9180-3397,True,steady,
M0298,Joseph Hanson,2025-08-24,32,female,3141,0410.858.994,False,sliding,
M0417,Sonya Harvey,2026-02-23,44,prefer_not_to_say,3182,(03)51863878,True,winback,
M0147,Sheena Guerra,2025-03-24,21,prefer_not_to_say,3556,0424 225 358,False,steady,
M0393,Justin Bradley,2025-02-06,19,prefer_not_to_say,3007,+61 2 2034 7175,False,winback,
M0148,Sarah King,2026-03-04,39,female,3006,+61-484-249-818,False,steady,
M0448,Courtney Powers,2024-11-18,23,male,3121,03.1279.7573,True,winback,
M0288,Traci Garcia,2026-05-07,28,prefer_not_to_say,3008,91485646,False,sliding,
M0124,Ronald Wise,2026-04-30,18,male,3008,08-0653-7947,False,steady,
M0369,Scott Gordon,2025-07-28,36,prefer_not_to_say,3005,+61-3-9127-9908,False,sleeping_dog,
M0097,Amanda Lutz,2025-11-11,27,prefer_not_to_say,3006,+61 8 1771 1592,False,steady,
M0144,Tammy Little,2026-02-09,18,male,3556,(03)13237058,False,steady,
M0240,Todd Johnson,2026-09-04,24,prefer_not_to_say,3005,+61.443.898.364,False,new_joiner,
M0443,Carlos Delgado,2025-11-09,23,male,3350,0483.248.262,True,winback,
M0098,Donald Schultz,2025-10-29,29,female,3004,0456-984-789,False,steady,
M0408,Chris Snyder,2025-08-16,39,female,3141,(08).4757.0512,False,winback,
M0123,Ryan Garcia,2025-12-20,35,female,3141,0480-592-962,False,steady,
M0184,Wyatt Young,2025-06-14,30,male,3004,0459.953.428,True,steady,2026-09-10T09:34:00
M0203,Todd Reynolds,2025-08-22,47,prefer_not_to_say,3005,+61.496.194.311,True,steady,
M0247,Rachel Le,2026-08-26,33,female,3220,07-2410-5648,False,new_joiner,
M0306,William Edwards,2026-02-27,32,female,3121,0743-2927,False,sliding,
M0299,Brian Brown,2025-11-27,30,male,3004,(07) 4443 2830,True,sliding,
M0352,Luis King,2025-12-02,32,male,3556,29087814,False,sleeping_dog,
M0387,Ethan Villanueva,2025-08-21,18,female,3141,0447.284.639,False,winback,
M0396,Tyler Oneill,2025-08-11,19,male,3556,+61-456-996-112,True,winback,
M0285,William Stanton,2025-08-24,40,male,3006,03.0616.3294,False,sliding,
M0126,Christopher Gonzalez,2025-07-27,18,prefer_not_to_say,3006,+61 424 075 818,True,steady,
M0303,Daniel Savage,2025-12-07,33,female,3006,+61-7-5494-7170,False,sliding,
M0224,Ian Smith,2026-09-01,37,prefer_not_to_say,3004,03 6887 6767,False,new_joiner,
M0419,Corey Johnson,2026-05-04,25,prefer_not_to_say,3350,+61-467-899-405,True,winback,
M0220,Craig Wilson,2026-08-26,24,prefer_not_to_say,3007,+61.478.596.969,False,new_joiner,
M0130,Monica Rose,2025-07-01,29,female,3006,43410369,False,steady,
M0421,Deborah Williams,2024-12-23,30,female,3556,4138.1138,False,winback,
M0290,Amber Alvarez,2025-12-05,35,male,3004,(07) 0544 4713,False,sliding,
M0445,Jennifer Jenkins,2025-08-11,37,male,3005,+61.7.2312.2099,False,winback,
M0377,Dennis Wood,2025-12-22,41,prefer_not_to_say,3008,+61 406 698 490,False,sleeping_dog,2026-08-28T15:44:00
M0292,Sharon Nicholson,2025-12-15,24,female,3008,0421 486 289,False,sliding,
M0356,Eric Arnold,2025-10-04,34,prefer_not_to_say,3005,02-4283-4110,False,sleeping_dog,
M0295,Hannah Martin,2025-09-01,40,female,3006,(02) 4060 2933,False,sliding,
M0397,Erik Delgado,2026-04-26,50,male,3006,(08) 4759 8762,False,winback,
M0341,Angel Zimmerman,2026-01-28,26,prefer_not_to_say,3182,0432 818 268,False,sleeping_dog,
M0113,Kerry Lee,2025-05-12,45,prefer_not_to_say,3006,(07)23124329,False,steady,
M0180,Janet Kane DVM,2025-09-18,41,male,3006,+61 2 8251 2868,False,steady,
M0308,Tiffany Mcclain,2025-09-03,18,male,3220,0430 033 542,False,sliding,
M0433,Nancy Sanchez,2026-01-21,33,prefer_not_to_say,3220,4659.1166,False,winback,
M0488,Sarah Ward,2025-05-03,21,male,3007,+61-3-4220-1027,False,winback,
M0482,Leslie Mueller,2024-05-17,20,prefer_not_to_say,3220,+61-7-8321-9719,True,winback,
M0423,Jessica Garcia,2026-04-12,28,female,3008,08-8528-9755,False,winback,
M0234,Aaron Rubio,2026-08-30,33,female,3350,03.4241.5415,False,new_joiner,
M0312,Alicia Norris,2025-09-12,39,prefer_not_to_say,3004,+61-8-6184-7230,False,sliding,
M0165,Kenneth Daniels,2025-05-27,36,female,3005,+61 7 2404 1574,False,steady,
M0137,Cody Holt,2026-03-29,30,male,3005,(07)16169284,False,steady,
M0198,Sarah Valdez,2025-11-12,27,prefer_not_to_say,3006,+61-401-666-870,False,steady,
M0259,Robert Torres,2026-08-29,40,female,3220,+61 403 521 356,False,new_joiner,
M0233,Drew Kelley,2026-09-04,27,female,3004,08 5001 7012,False,new_joiner,
M0116,Joel Johnson,2025-11-12,43,female,3007,(07)11998679,False,steady,
M0121,Melissa Myers,2026-02-24,36,prefer_not_to_say,3005,+61 414 865 281,False,steady,
M0350,Rebecca Atkinson,2025-10-02,31,prefer_not_to_say,3141,(03)-4508-8210,False,sleeping_dog,
